
> dev
> vite


  VITE v5.2.11  ready in 88 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: http://192.168.32.4:5173/

  LARAVEL v11.14.0  plugin v1.0.2

  ➜  APP_URL: http://localhost
10:37:29 PM [vite] page reload resources/views/components/main/index.blade.php
10:37:38 PM [vite] page reload resources/views/components/main/index.blade.php
10:37:38 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:06 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:06 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:14 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:14 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:44 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:44 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:58 PM [vite] page reload resources/views/components/main/index.blade.php
10:38:58 PM [vite] page reload resources/views/components/main/index.blade.php
10:39:21 PM [vite] page reload resources/views/components/main/index.blade.php
10:39:21 PM [vite] page reload resources/views/components/main/index.blade.php
10:39:36 PM [vite] page reload resources/views/components/main/index.blade.php
10:39:36 PM [vite] page reload resources/views/components/main/index.blade.php
10:40:02 PM [vite] page reload resources/views/components/main/index.blade.php
10:40:02 PM [vite] page reload resources/views/components/main/index.blade.php
10:40:06 PM [vite] page reload resources/views/components/main/index.blade.php
10:40:06 PM [vite] page reload resources/views/components/main/index.blade.php
10:40:09 PM [vite] page reload resources/views/components/main/index.blade.php
10:40:09 PM [vite] page reload resources/views/components/main/index.blade.php
11:53:04 PM [vite] page reload resources/views/welcome-old.blade.php
11:53:04 PM [vite] page reload resources/views/welcome-old.blade.php
11:54:54 PM [vite] page reload resources/views/welcome.blade.php
11:54:54 PM [vite] page reload resources/views/welcome.blade.php
11:56:09 PM [vite] page reload resources/views/welcome.blade.php
11:56:09 PM [vite] page reload resources/views/welcome.blade.php
11:56:39 PM [vite] page reload resources/views/welcome.blade.php
11:56:39 PM [vite] page reload resources/views/welcome.blade.php
11:57:24 PM [vite] page reload resources/views/welcome.blade.php
11:57:24 PM [vite] page reload resources/views/welcome.blade.php
11:57:30 PM [vite] page reload resources/views/welcome.blade.php
11:57:30 PM [vite] page reload resources/views/welcome.blade.php
11:58:46 PM [vite] page reload resources/views/welcome.blade.php
11:58:46 PM [vite] page reload resources/views/welcome.blade.php
11:59:31 PM [vite] page reload resources/views/welcome.blade.php
11:59:31 PM [vite] page reload resources/views/welcome.blade.php
11:59:48 PM [vite] page reload resources/views/welcome.blade.php
11:59:48 PM [vite] page reload resources/views/welcome.blade.php
12:00:22 AM [vite] page reload resources/views/welcome.blade.php
12:00:22 AM [vite] page reload resources/views/welcome.blade.php
12:00:46 AM [vite] page reload resources/views/components/story.blade.php
12:00:46 AM [vite] page reload resources/views/components/story.blade.php
12:01:15 AM [vite] page reload resources/views/welcome.blade.php
12:01:15 AM [vite] page reload resources/views/welcome.blade.php
12:02:12 AM [vite] page reload resources/views/welcome.blade.php
12:02:12 AM [vite] page reload resources/views/welcome.blade.php
12:03:22 AM [vite] page reload resources/views/welcome.blade.php
12:03:22 AM [vite] page reload resources/views/welcome.blade.php
12:03:30 AM [vite] page reload resources/views/welcome.blade.php
12:03:30 AM [vite] page reload resources/views/welcome.blade.php
12:03:52 AM [vite] page reload resources/views/welcome.blade.php
12:03:52 AM [vite] page reload resources/views/welcome.blade.php
12:03:56 AM [vite] page reload resources/views/welcome.blade.php
12:03:56 AM [vite] page reload resources/views/welcome.blade.php
12:04:17 AM [vite] page reload resources/views/welcome.blade.php
12:04:17 AM [vite] page reload resources/views/welcome.blade.php
12:06:46 AM [vite] page reload resources/views/components/story.blade.php
12:06:46 AM [vite] page reload resources/views/components/story.blade.php
12:07:10 AM [vite] page reload resources/views/components/story.blade.php
